tag,title,lat,lon
4244,York Mills Rd At Glenridge Ave,43.7474799,-79.38646
4249,Leslie St At Coldwater Rd,43.7547199,-79.36022
4267,Albion Rd At Weston Rd West Side,43.7175799,-79.5384699
4269,Arrow Rd At Sheppard Ave West,43.7364299,-79.52959
4273,Guildwood Pkwy At Guild Inn West Side,43.7487199,-79.19393
4275,The West Mall At Bloor St West North Side,43.63602,-79.56235
4277,Albion Rd At Shendale Dr East Side,43.7223099,-79.5473699
4295,Sheppard Ave West At Buckland Rd,43.74094,-79.5034899
4302,The East Mall At Gordon Park Dr South Side,43.63433,-79.5568299
4304,Heathrow Dr At Jane St East Side,43.7249599,-79.50909
4305,The West Mall At Sherway Dr North Side,43.6097499,-79.5606
4320,Spadina Rd At Kendal Ave,43.67045,-79.40545
4336,Nugget Ave At Dovedale Crt West Side,43.7969299,-79.2474
4377,2681 Danforth Ave,43.6887299,-79.29897
4382,The East Mall At Evans Ave,43.61208,-79.54398
4398,Heathrow Dr At Datchet Rd,43.7258799,-79.50805
4406,McLevin Ave At Hupfield Trail,43.81045,-79.21981
4458,Morningside Ave At Kingston Rd,43.7707299,-79.1870799
4460,Kingston Rd At Muir Dr West Side,43.7432499,-79.21248
4480,23 Lesmill Rd,43.75661,-79.3528
4481,International Blvd At Voyager Crt South,43.6774899,-79.58819
4512,Wellesworth Dr At Clumber Rd South Side,43.65721,-79.57754
4518,Christie St At Benson Ave,43.6800999,-79.4251499
