zipcode,lat,lon,population,land,density
1468,42.555059,-72.072285,4021,55.42574555,72.54751307
1469,42.446396,-71.459405,6801,59.26151794,114.7625008
1473,42.549489,-71.913219,7277,91.7710487,79.29516011
1474,42.446396,-71.459405,2125,25.69009206,82.71671409
1475,42.661612,-72.047876,10270,110.9861705,92.53405136
1501,42.184835,-71.947184,16075,40.03344622,401.5392508
1503,42.3129,-71.841656,2866,33.59732576,85.30440846
1504,42.114078,-71.799785,9026,28.68411832,314.6689014
1505,42.300037,-71.943458,4355,41.59779903,104.6930391
1506,42.19169,-72.105011,3390,40.26395516,84.19441127
1507,42.13277,-71.972627,12981,109.2534684,118.8154498
1510,42.413972,-71.687523,13606,14.64638276,928.9665729
1515,42.205311,-72.049907,2183,25.51915285,85.54359202
1516,42.113076,-71.891139,8500,95.19242299,89.29282114
1518,42.106405,-72.114045,2974,22.97578452,129.440629
1519,42.203944,-71.682862,6595,28.26195026,233.3526151
1520,42.336791,-71.845316,13997,46.82957502,298.8923131
1521,42.061063,-72.163991,2481,31.84131382,77.91763913
1522,42.264629,-71.795442,3310,42.41882527,78.03139241
1523,42.427188,-71.91177,7582,65.23662051,116.2230652
1524,42.238192,-72.012379,6696,41.37506006,161.8366231
1525,42.364807,-71.896868,290,1.162904661,249.375559
1527,42.255642,-71.819961,13246,40.32352488,328.4931076
1529,42.124662,-71.846943,3190,12.70648167,251.0529731
1531,42.320938,-72.128644,999,53.84326282,18.55385331
1532,42.322118,-71.64282,14155,47.85262032,295.8040731
1534,42.207191,-71.856807,5631,22.68311587,248.2463182
1535,42.275382,-72.089338,4680,55.08386712,84.96135519
1536,42.407556,-71.860402,6888,21.59791085,318.9197348
1537,42.166241,-71.891052,2248,18.08588697,124.2958116
1540,42.109223,-71.855444,11291,50.12921987,225.2378958
1541,42.451926,-71.880057,3413,91.70888899,37.21558551
1542,42.220085,-71.914361,2202,10.42729213,211.1765905
1543,42.383516,-71.95463,7973,90.91894261,87.69349677
1545,42.286992,-71.715313,35299,53.71376341,657.1686241
1550,42.129251,-72.031155,16719,52.52495887,318.305818
1560,42.176544,-71.681912,4527,9.238487588,490.0152711
1561,42.443539,-71.686137,330,0.318568538,1035.88384
1562,42.254837,-72.065612,11688,85.03448963,137.4501106
1564,42.366765,-71.939375,7808,79.35205571,98.39694674
1566,42.10273,-72.080996,6294,73.43134289,85.71271819
1568,42.175591,-71.603197,7480,55.52934508,134.7035516
1569,42.059736,-71.638438,13569,75.31685424,180.1588786
1570,42.1351,-71.994169,16767,32.0640528,522.9220431
1571,42.059189,-71.937037,11390,53.91578249,211.2553964
1581,42.255222,-71.845865,18272,53.31231526,342.7350681
1583,42.362783,-71.781215,7591,32.67270001,232.3346402
1585,42.235638,-72.172523,4554,66.17419621,68.81836518
1588,42.166554,-71.899484,9733,22.30756759,436.3093358
1590,42.126575,-71.755193,8875,82.90292941,107.0529119
1602,42.274595,-71.846966,22819,14.93646143,1527.738019
1603,42.245442,-71.839257,19916,11.69120633,1703.502568
1604,42.247955,-71.76678,34677,16.67693344,2079.339114
1605,42.288792,-71.796128,26221,14.61271292,1794.396438
