tag,title,lat,lon,merged
1031,Queens Quay West At Bathurst St East Side,43.6360699,-79.39779,1031
10310,Kennedy Rd At Radnor Ave,43.7459549,-79.2736249,1723|10310
10311,Gerrard St East At Pape Ave,43.66816,-79.3403699,3164|10311
10313,Weston Rd At Jubilee Cres,43.7258399,-79.53561,10313
10314,Bay St At Queens Quay West North Side,43.6416636625,-79.3771836625,10314|1551|7536|10390
10316,Drewry Ave At Norwin St,43.7848699,-79.42772,10316
10317,Warden Ave At Ashtonbee Rd,43.73052,-79.28858,10317
10318,Islington Ave At Chestnut Hills Cres,43.65325995,-79.52719495,5241|10318
10319,Kipling Ave At Steeles Ave West,43.759467425,-79.589739925,5978|10319|3823
1032,Spadina Rd At Dupont St (Dupont Station),43.6749149875,-79.40719122499999,1032|1224|1433|3941
10320,Lake Shore Blvd West At First St,43.602254900000005,-79.498525,6435|10320
10321,Gerrard St East At Dengate Rd,43.686304899999996,-79.28941,10321|9517
10322,Kipling Ave At Burnhamthorpe Rd,43.650876175,-79.5393149125,3438|10322|9744|4747
10323,Queen St West At Jameson Ave,43.64039,-79.4375199,10323
10324,Oconnor Dr At Chilton Rd,43.6937499,-79.34732,10324
10325,Roncesvalles Ave At Queen St West,43.638695,-79.4462399625,9459|8975|4321|10325
10326,Gerrard St West At Elizabeth St West Side,43.6581499,-79.38678,10326
10327,St Clair Ave West At Weston/Keele West Side,43.6724849,-79.46801250000001,10327|14674|14675
10329,Southwood Dr At Glen Ames,43.67592,-79.29680995,10329|6696
1033,Faywood Blvd At Invermay Ave,43.7387999,-79.4472799,1033
10330,Brimley Rd At St Clair Ave East,43.72088874375,-79.24155374375,2328|10330|5869|4405|808
10331,Keele St At Humberside Ave,43.661635000000004,-79.462935,5847|10331
10332,Ellesmere Rd At Saratoga Dr East Side,43.7716799,-79.25319,10332
10333,Guildwood Pkwy At Kingston Rd,43.749244899999994,-79.205165,5699|10333
10334,Orton Park Rd At Thornbeck Dr,43.7689149,-79.20768495,2177|10334
10335,Eglinton Ave West At Avenue Rd West Side,43.70460250000001,-79.408894925,5842|380|10335
10339,Finch Ave West At Jane St West Side,43.75719495,-79.51841995000001,10339|624
1034,Brimley Rd At Pitfield Rd,43.783719899999994,-79.26649995,2374|1034
10340,Birchmount Rd At Danforth Rd,43.7072299,-79.2683199,10340
10341,Humberwood Blvd At Hullrick Dr (South),43.721869999999996,-79.61291,10341|7031
10342,Bathurst St At College St,43.6565149125,-79.4077662,1566|1403|3455|10342
10344,Eglinton Ave East At Bermondsey Rd,43.725734975,-79.313717475,3839|4915|10344
10345,Chisholm Ave At Lumsden Ave,43.69439495,-79.30579495,10345|7636
10346,Midland Ave At Lockie Ave South Side,43.7887099,-79.2800599,10346
10347,Hollinger Rd At Dohme Ave,43.7132349,-79.313985,1625|10347
10348,Danforth Rd At Hart Ave,43.718849950000006,-79.25868994999999,10348|7738
10349,The Queensway At The East Mall,43.616689949999994,-79.5462799,10349|2643
1035,Belfield Rd At Cityview Dr,43.699619999999996,-79.5855099,8958|1035
10350,Underhill Dr At Cornerbrook Dr,43.743915,-79.32605000000001,10350|7404
10351,Ellesmere Rd At Meadowvale Rd,43.7924437125,-79.16364245,4388|6754|10351|8708
10352,Tapscott Rd At Finch Ave East,43.814343056249996,-79.2372668,10352_IB|4653|10352|1693|2617|856
10353,Broadview Ave At Gerrard St East,43.6655449875,-79.35271995,10353|6205|3903|4575
10354,Island Rd At Port Union Rd East Side,43.796109900000005,-79.142815,10354|5928
10355,Old Weston Rd At Kane Ave,43.68061,-79.466445,8850|10355
10356,Bathurst St At Cordoba Dr,43.794380000000004,-79.446185,10356|5483
